City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
6,Avarua,CK,84.25,broken clouds,-21.2078,-159.775,Avarua District
7,Sulphur Springs,US,78.51,clear sky,33.1385,-95.6011,Sulphur Springs
8,Vaini,TO,82.56,broken clouds,-21.2,-175.2,Nukuhetulu
9,Nabire,ID,82.9,overcast clouds,-3.3667,135.4833,Nabire
18,Hithadhoo,MV,85.53,overcast clouds,-0.6,73.0833,Addu City
19,Araouane,ML,78.1,clear sky,18.9048,-3.5265,Araouane
20,Isangel,VU,87.91,broken clouds,-19.55,169.2667,Isangel
23,Kaduna,NG,76.62,overcast clouds,10.5222,7.4383,Kaduna
27,Mahibadhoo,MV,84.83,overcast clouds,3.7833,72.9667,Omadhoo
29,Wattegama,LK,75.56,few clouds,6.7989,81.4808,Wattegama
30,Coahuayana,MX,78.1,clear sky,18.7333,-103.6833,Coahuayana de Hidalgo
33,Rikitea,PF,76.59,overcast clouds,-23.1203,-134.9692,Rikitea
44,Teknaf,BD,80.28,clear sky,20.8624,92.3058,Teknaf
45,Saint-Georges,GD,80.28,few clouds,12.0564,-61.7485,Saint George's
46,Faanui,PF,81.41,light rain,-16.4833,-151.75,Vaitape
54,Touros,BR,79.18,overcast clouds,-5.1989,-35.4608,Touros
56,Arraial Do Cabo,BR,75.54,clear sky,-22.9661,-42.0278,Cabo Frio
60,Salalah,OM,84.29,scattered clouds,17.0151,54.0924,Salalah
62,Panacan,PH,83.79,broken clouds,9.2463,118.4082,Narra
65,Alofi,NU,84.09,overcast clouds,-19.0595,-169.9187,Alofi
66,Cabedelo,BR,77.67,few clouds,-6.9811,-34.8339,Cabedelo
89,Kapaa,US,85.98,broken clouds,22.0752,-159.319,Kapaʻa
106,Veraval,IN,81.61,clear sky,20.9,70.3667,Veraval
107,Malakal,SS,85.71,overcast clouds,9.5334,31.6605,Malakal
122,Khorramshahr,IR,82.36,dust,30.4397,48.1664,Khorramshahr
128,Meulaboh,ID,77.88,overcast clouds,4.1363,96.1285,Meulaboh
132,Cape Coast,GH,80.62,overcast clouds,5.1053,-1.2466,Cape Coast
133,Houma,US,77.0,broken clouds,29.5958,-90.7195,Houma
134,Kilindoni,TZ,79.86,light rain,-7.9139,39.6668,Kilindoni
137,Bilma,NE,89.78,clear sky,18.6853,12.9164,Bilma
138,Atuona,PF,78.37,overcast clouds,-9.8,-139.0333,Atuona
140,Georgetown,MY,80.55,few clouds,5.4112,100.3354,George Town
142,Rajauri,IN,76.1,clear sky,33.3833,74.3,Rajouri
151,Belmonte,BR,75.88,clear sky,-15.8631,-38.8828,Belmonte
155,Honavar,IN,83.52,overcast clouds,14.2833,74.45,Honnavar
156,Luanda,AO,78.8,broken clouds,-8.8368,13.2343,Luanda
157,Monywa,MM,87.82,clear sky,22.1167,95.1333,Monywa
167,Maningrida,AU,86.04,overcast clouds,-12.0667,134.2667,West Arnhem
171,Arlit,NE,83.25,scattered clouds,18.7369,7.3853,Arlit
172,Butaritari,KI,81.37,light rain,3.0707,172.7902,Ukiangang
173,Carutapera,BR,75.69,moderate rain,-1.195,-46.02,Carutapera
178,Bonthe,SL,80.8,scattered clouds,7.5264,-12.505,Bonthe
179,Bosaso,SO,85.39,clear sky,11.2842,49.1816,Bosaso
181,Marawi,PH,77.63,overcast clouds,7.9986,124.2928,Marawi City
183,Mayumba,GA,77.36,light rain,-3.432,10.6554,Mayumba
184,Kahului,US,80.62,scattered clouds,20.8947,-156.47,Kahului
187,San Patricio,US,83.12,overcast clouds,28.017,-97.5169,Sinton
189,Tautira,PF,79.65,broken clouds,-17.7333,-149.15,Tautira
190,Voh,NC,82.83,broken clouds,-20.9667,164.7,Voh
194,Tarut,SA,75.42,clear sky,26.5733,50.0369,Al Qatif
196,Vila Velha,BR,78.75,clear sky,-20.3297,-40.2925,Vila Velha
199,Port Keats,AU,86.58,broken clouds,-14.25,129.55,Thamarrurr
204,Kavieng,PG,84.94,overcast clouds,-2.5744,150.7967,Kavieng
205,Sao Joao Da Barra,BR,76.3,scattered clouds,-21.6403,-41.0511,Grussaí
206,Samarai,PG,82.94,broken clouds,-10.6167,150.6667,Magesina
209,Vao,NC,75.4,clear sky,-22.6667,167.4833,Vao
216,San Policarpo,PH,83.37,overcast clouds,12.1791,125.5072,Oras
