City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Jamestown,US,42.097,-79.2353,55.02,93,100,13.8,overcast clouds
1,Mataura,NZ,-46.1927,168.8643,63.48,55,26,5.37,scattered clouds
2,Kosh-Agach,RU,50.0,88.6667,46.22,34,100,3.24,overcast clouds
3,Bluff,NZ,-46.6,168.3333,63.81,74,34,11.77,scattered clouds
4,Durham,US,36.0335,-78.8664,66.29,91,100,1.99,overcast clouds
5,Barrow,US,71.2906,-156.7887,19.42,86,100,14.97,overcast clouds
6,Avarua,CK,-21.2078,-159.775,84.25,74,75,5.75,broken clouds
7,Sulphur Springs,US,33.1385,-95.6011,78.51,47,0,5.75,clear sky
8,Vaini,TO,-21.2,-175.2,82.56,83,75,14.97,broken clouds
9,Nabire,ID,-3.3667,135.4833,82.9,77,100,2.15,overcast clouds
10,Quzhou,CN,28.9594,118.8686,62.37,75,88,3.94,overcast clouds
11,Pimentel,PE,-6.8367,-79.9342,66.13,87,84,12.93,broken clouds
12,Ushuaia,AR,-54.8,-68.3,38.86,81,20,6.91,few clouds
13,Marsabit,KE,2.3284,37.9899,62.73,94,100,10.16,light rain
14,Carnarvon,AU,-24.8667,113.6333,69.87,52,0,10.36,clear sky
15,Aklavik,CA,68.2191,-135.0107,38.14,88,100,14.5,overcast clouds
16,Port Lincoln,AU,-34.7333,135.8667,64.51,68,0,10.8,clear sky
17,Torbay,CA,47.6666,-52.7314,43.57,90,75,4.0,broken clouds
18,Hithadhoo,MV,-0.6,73.0833,85.53,72,100,17.67,overcast clouds
19,Araouane,ML,18.9048,-3.5265,78.1,15,0,10.74,clear sky
20,Isangel,VU,-19.55,169.2667,87.91,74,75,6.91,broken clouds
21,Saint-Francois,FR,46.4154,3.9054,41.68,100,67,0.0,broken clouds
22,Marsh Harbour,BS,26.5412,-77.0636,74.46,78,30,17.83,scattered clouds
23,Kaduna,NG,10.5222,7.4383,76.62,59,100,3.62,overcast clouds
24,Iskateley,RU,67.6803,53.1512,17.78,95,99,10.16,light snow
25,Bonavista,CA,48.6499,-53.1147,36.99,96,100,3.04,overcast clouds
26,Bredasdorp,ZA,-34.5322,20.0403,54.63,94,52,3.62,broken clouds
27,Mahibadhoo,MV,3.7833,72.9667,84.83,75,97,17.9,overcast clouds
