City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ayan,RU,2022-04-24 15:22:29,56.45,138.1667,25.86,90,100,4.03
1,Yellowknife,CA,2022-04-24 15:22:04,62.456,-114.3525,19.92,68,0,12.66
2,Puerto Ayora,EC,2022-04-24 15:22:29,-0.7393,-90.3518,75.16,80,39,8.1
3,Punta Arenas,CL,2022-04-24 15:20:49,-53.15,-70.9167,42.91,87,75,2.3
4,Aleksandrov Gay,RU,2022-04-24 15:22:30,50.147,48.5704,60.08,64,100,2.06
5,Kapaa,US,2022-04-24 15:22:30,22.0752,-159.319,75.18,86,75,18.41
6,Inongo,CD,2022-04-24 15:22:31,-1.95,18.2667,80.01,71,72,4.32
7,Verkhnyaya Inta,RU,2022-04-24 15:22:31,65.9811,60.3094,27.54,89,100,2.1
8,Bredasdorp,ZA,2022-04-24 15:22:31,-34.5322,20.0403,62.35,59,37,12.97
9,Mataura,NZ,2022-04-24 15:22:32,-46.1927,168.8643,52.48,87,100,6.22
10,Albany,US,2022-04-24 15:20:11,42.6001,-73.9662,59.36,41,93,1.01
11,Fortuna,US,2022-04-24 15:20:37,40.5982,-124.1573,49.66,91,100,0.0
12,Esperance,AU,2022-04-24 15:22:32,-33.8667,121.9,60.37,83,1,10.63
13,Tecoanapa,MX,2022-04-24 15:22:33,16.5167,-98.75,83.59,59,1,2.68
14,Florianopolis,BR,2022-04-24 15:22:33,-27.6146,-48.5012,75.63,69,20,11.5
15,Qasigiannguit,GL,2022-04-24 15:22:34,68.8193,-51.1922,30.45,92,100,4.9
16,Cabo San Lucas,MX,2022-04-24 15:17:43,22.8909,-109.9124,76.6,85,20,0.0
17,Mahebourg,MU,2022-04-24 15:18:51,-20.4081,57.7,75.49,83,75,19.57
18,Vaini,TO,2022-04-24 15:22:34,-21.2,-175.2,69.96,100,75,0.0
19,Rikitea,PF,2022-04-24 15:22:35,-23.1203,-134.9692,73.99,79,100,6.49
20,Pierre,US,2022-04-24 15:22:35,44.3683,-100.351,38.86,76,100,32.21
21,Hermanus,ZA,2022-04-24 15:22:35,-34.4187,19.2345,62.8,75,11,9.84
22,Butaritari,KI,2022-04-24 15:22:36,3.0707,172.7902,79.72,79,100,12.82
23,Saint George,US,2022-04-24 15:18:30,37.1041,-113.5841,57.79,32,0,3.44
24,Boma,GH,2022-04-24 15:22:36,7.0805,-2.1697,90.91,53,100,0.22
25,Castro,BR,2022-04-24 15:22:37,-24.7911,-50.0119,73.45,66,44,2.64
26,Hobart,AU,2022-04-24 15:17:41,-42.8794,147.3294,56.26,88,40,5.75
27,Busselton,AU,2022-04-24 15:22:37,-33.65,115.3333,63.63,52,100,9.57
28,Chicama,PE,2022-04-24 15:22:37,-7.8447,-79.1469,61.34,69,42,6.49
29,Kavieng,PG,2022-04-24 15:22:38,-2.5744,150.7967,81.75,77,47,8.61
30,Ushuaia,AR,2022-04-24 15:21:15,-54.8,-68.3,42.46,70,40,0.0
31,Grand Gaube,MU,2022-04-24 15:22:38,-20.0064,57.6608,76.37,72,95,5.99
32,Torbay,CA,2022-04-24 15:22:39,47.6666,-52.7314,38.28,94,100,20.71
33,Carnarvon,AU,2022-04-24 15:22:39,-24.8667,113.6333,66.27,94,4,0.0
34,Cherskiy,RU,2022-04-24 15:22:39,68.75,161.3,-4.09,100,87,4.76
35,Ponta Do Sol,PT,2022-04-24 15:17:47,32.6667,-17.1,70.72,62,12,8.12
36,Rawson,AR,2022-04-24 15:22:40,-43.3002,-65.1023,64.36,28,88,32.26
37,New Norfolk,AU,2022-04-24 15:22:40,-42.7826,147.0587,55.92,84,56,1.25
38,Nikolskoye,RU,2022-04-24 15:22:40,59.7035,30.7861,50.72,74,100,9.55
39,Aklavik,CA,2022-04-24 15:22:41,68.2191,-135.0107,19.4,86,0,3.44
40,Tiksi,RU,2022-04-24 15:22:41,71.6872,128.8694,-3.64,100,98,2.39
41,Barrow,US,2022-04-24 15:20:01,71.2906,-156.7887,6.82,78,0,9.22
42,Karaman,TR,2022-04-24 15:22:42,37.0833,33.25,74.52,18,0,10.63
43,Avarua,CK,2022-04-24 15:22:42,-21.2078,-159.775,78.85,83,75,4.61
44,Brae,GB,2022-04-24 15:22:43,60.3964,-1.353,48.43,75,79,16.84
45,Ribeira Grande,PT,2022-04-24 15:22:43,38.5167,-28.7,63.0,59,40,19.57
46,Luderitz,NA,2022-04-24 15:23:43,-26.6481,15.1594,68.59,38,0,30.74
47,Geraldton,AU,2022-04-24 15:23:44,-28.7667,114.6,61.21,72,97,0.0
48,Bathsheba,BB,2022-04-24 15:23:44,13.2167,-59.5167,86.61,54,40,19.57
49,Fort Myers Beach,US,2022-04-24 15:23:33,26.452,-81.9481,85.05,57,0,14.97
50,Ngaoundere,CM,2022-04-24 15:23:45,7.3167,13.5833,78.98,57,95,6.31
51,Ust-Koksa,RU,2022-04-24 15:23:45,50.2696,85.6108,27.01,65,2,2.39
52,Kaili,ID,2022-04-24 15:23:45,-3.4626,120.2147,68.7,88,100,3.47
53,Karratha,AU,2022-04-24 15:21:26,-20.7377,116.8463,80.85,62,0,3.53
54,Comodoro Rivadavia,AR,2022-04-24 15:23:46,-45.8667,-67.5,58.86,44,20,13.8
55,Hithadhoo,MV,2022-04-24 15:23:46,-0.6,73.0833,84.29,72,91,9.1
56,Khatanga,RU,2022-04-24 15:23:47,71.9667,102.5,-3.26,100,100,3.18
57,Souillac,MU,2022-04-24 15:22:49,-20.5167,57.5167,75.58,83,75,19.57
58,Winnemucca,US,2022-04-24 15:23:47,40.973,-117.7357,33.85,64,0,3.44
59,Puerto Del Rosario,ES,2022-04-24 15:23:48,28.5004,-13.8627,69.55,56,40,11.5
60,Pevek,RU,2022-04-24 15:23:48,69.7008,170.3133,0.05,99,99,3.47
61,Samut Sakhon,TH,2022-04-24 15:23:48,13.5833,100.3,91.02,73,3,14.5
62,Tooele,US,2022-04-24 15:23:49,40.5308,-112.2983,46.89,70,0,0.0
63,Cape Town,ZA,2022-04-24 15:23:49,-33.9258,18.4232,64.11,66,20,17.27
64,Jieshi,CN,2022-04-24 15:23:50,22.8134,115.8257,81.95,87,1,6.53
65,Panaba,MX,2022-04-24 15:21:19,21.2833,-88.2667,87.35,47,0,13.51
66,Klaksvik,FO,2022-04-24 15:23:50,62.2266,-6.589,47.32,87,100,18.63
67,Talaya,RU,2022-04-24 15:23:50,61.3833,152.75,18.82,96,100,3.96
68,Hilo,US,2022-04-24 15:23:51,19.7297,-155.09,75.27,94,100,4.61
69,Ponta Delgada,PT,2022-04-24 15:23:51,37.7333,-25.6667,59.72,72,20,20.71
70,Jamestown,US,2022-04-24 15:23:52,42.097,-79.2353,78.06,37,0,16.11
71,Salalah,OM,2022-04-24 15:23:52,17.0151,54.0924,83.03,70,60,7.36
